NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
Dnttip2	1	ENSMUSG00000039756	
Dnttip1	1	ENSMUSG00000017299	
Manbal	1	ENSMUSG00000063019	
Gm4262	1	ENSMUSG00000097056	
Rpusd4	1	ENSMUSG00000032044	
Rpusd2	1	ENSMUSG00000027324	
Rpusd3	1	ENSMUSG00000051169	
Lad1	1	ENSMUSG00000041782	
Rpusd1	1	ENSMUSG00000041199	
Gm18505	1	ENSMUSG00000101735	
Tigd3	1	ENSMUSG00000044390	
Tigd2	1	ENSMUSG00000049232	
Moap1	1	ENSMUSG00000096458	
Tigd5	1	ENSMUSG00000103906	
Tigd4	1	ENSMUSG00000047819	
1700003M07Rik	1	ENSMUSG00000085389	
Gm4271	1	ENSMUSG00000092521	
Gm4275	1	ENSMUSG00000099422	
Gm4279	1	ENSMUSG00000085732	
Bgn	1	ENSMUSG00000031375	
RP23-13B24.1	1	ENSMUSG00000107145	
Emp1	1	ENSMUSG00000030208	
Emp3	1	ENSMUSG00000040212	
Emp2	1	ENSMUSG00000022505	
Gpha2	1	ENSMUSG00000024784	
Aacs	1	ENSMUSG00000029482	
1700020D05Rik	1	ENSMUSG00000100937	
Cyp20a1	1	ENSMUSG00000049439	
Mir22hg	1	ENSMUSG00000085148	
Gm4246	1	ENSMUSG00000092240	
RP23-446N16.6	1	ENSMUSG00000107167	
RP23-179A12.1	1	ENSMUSG00000106885	
Pms2	1	ENSMUSG00000079109	
Bid	1	ENSMUSG00000004446	
Pms1	1	ENSMUSG00000026098	
Hinfp	1	ENSMUSG00000032119	
Pcmt1	1	ENSMUSG00000019795	
Bik	1	ENSMUSG00000016758	
Gm4258	1	ENSMUSG00000098243	
RP24-423B3.1	1	ENSMUSG00000106128	
Sssca1	1	ENSMUSG00000079478	
Tigar	1	ENSMUSG00000038028	
Dnaja1-ps	1	ENSMUSG00000090197	
Rcan1	1	ENSMUSG00000022951	
Traj8	1	ENSMUSG00000076920	
Rcan2	1	ENSMUSG00000039601	
Rcan3	1	ENSMUSG00000059713	
Traj9	1	ENSMUSG00000076919	
Gm6801	1	ENSMUSG00000100069	
Fam46d	1	ENSMUSG00000073007	
Gm6807	1	ENSMUSG00000057605	
Gm6806	1	ENSMUSG00000082794	
Gm6808	1	ENSMUSG00000090162	
Fam46a	1	ENSMUSG00000032265	
Fam46b	1	ENSMUSG00000046694	
Fam46c	1	ENSMUSG00000044468	
Luzp1	1	ENSMUSG00000001089	
Pptc7	1	ENSMUSG00000038582	
Rita1	1	ENSMUSG00000029600	
Traj4	1	ENSMUSG00000076924	
Traj3	1	ENSMUSG00000076925	
Traj6	1	ENSMUSG00000076922	
Traj5	1	ENSMUSG00000076923	
Traj2	1	ENSMUSG00000076926	
Zufsp	1	ENSMUSG00000039531	
Lag3	1	ENSMUSG00000030124	
Dzank1	1	ENSMUSG00000037259	
Gm6812	1	ENSMUSG00000056815	
Gm6818	1	ENSMUSG00000102073	
Fam45a	1	ENSMUSG00000024993	
Trak1	1	ENSMUSG00000032536	
Trak2	1	ENSMUSG00000026028	
Traip	1	ENSMUSG00000032586	
Blm	1	ENSMUSG00000030528	
5830416P10Rik	1	ENSMUSG00000097636	
Bmf	1	ENSMUSG00000040093	
4933427E11Rik	1	ENSMUSG00000044276	
Dscr3	1	ENSMUSG00000022898	
Dhcr7	1	ENSMUSG00000058454	
Bmx	1	ENSMUSG00000031377	
Fam43a	1	ENSMUSG00000046546	
Fam43b	1	ENSMUSG00000078235	
Natd1	1	ENSMUSG00000018931	
Aak1	1	ENSMUSG00000057230	
Traf7	1	ENSMUSG00000052752	
Erlec1	1	ENSMUSG00000020311	
Traf4	1	ENSMUSG00000017386	
Traf3	1	ENSMUSG00000021277	
Traf6	1	ENSMUSG00000027164	
Traf5	1	ENSMUSG00000026637	
Gm18588	1	ENSMUSG00000093402	
Tradd	1	ENSMUSG00000031887	
Boc	1	ENSMUSG00000022687	
Traf2	1	ENSMUSG00000026942	
Traf1	1	ENSMUSG00000026875	
Syngap1	1	ENSMUSG00000067629	
Bok	1	ENSMUSG00000026278	
Emx1	1	ENSMUSG00000033726	
Emx2	1	ENSMUSG00000043969	
Gm6851	1	ENSMUSG00000056836	
RP23-164N7.2	1	ENSMUSG00000106592	
RP23-164N7.3	1	ENSMUSG00000105272	
Pmvk	1	ENSMUSG00000027952	
Bpi	1	ENSMUSG00000052922	
Gm6822	1	ENSMUSG00000061863	
U2af1	1	ENSMUSG00000061613	
Tigit	1	ENSMUSG00000071552	
Gm6829	1	ENSMUSG00000083670	
Trabd	1	ENSMUSG00000015363	
U2af2	1	ENSMUSG00000030435	
Nfasc	1	ENSMUSG00000026442	
Gm18594	1	ENSMUSG00000093756	
Apopt1	1	ENSMUSG00000037787	
Spag1	1	ENSMUSG00000037617	
Ngrn	1	ENSMUSG00000047084	
Spag9	1	ENSMUSG00000020859	
Nfat5	1	ENSMUSG00000003847	
Spag7	1	ENSMUSG00000018287	
Spag8	1	ENSMUSG00000066196	
Bre	1	ENSMUSG00000052139	
Spag5	1	ENSMUSG00000002055	
Spag6	1	ENSMUSG00000022783	
Spag4	1	ENSMUSG00000038180	
Aamp	1	ENSMUSG00000006299	
