gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000029602	7.159537	-3.190473	0.84160668	3.521252e-06	4.379661e-05
ENSMUSG00000029471	554.2579	-0.6968695	0.11775375	8.772751e-11	2.229829e-09
ENSMUSG00000045502	39.38144	1.529828	0.20690337	2.859026e-15	1.154332e-13
ENSMUSG00000029408	37.82843	0.3801519	0.17828014	0.0004202469	0.00325679
ENSMUSG00000044017	1.580242	-1.076525	1.07326993	0.001211097	0.008252835
ENSMUSG00000029436	13.19323	-2.489882	0.31626725	6.786875e-16	2.913915e-14
ENSMUSG00000029673	62.962	-0.4304223	0.14298811	1.862788e-05	0.0002009724
ENSMUSG00000070473	594.1561	1.060885	0.076135	4.103998e-46	8.703378e-44
ENSMUSG00000005373	12.5752	-1.231547	0.48906514	3.468163e-05	0.0003502361
ENSMUSG00000004951	337.9752	-1.933737	0.25185671	1.020523e-15	4.293763e-14
ENSMUSG00000004952	213.6532	-0.7824425	0.0889425	5.0327109999999996e-20	2.910792e-18
ENSMUSG00000039747	1166.207	0.4583101	0.04602686	1.483408e-25	1.2165680000000001e-23
ENSMUSG00000001739	37.12645	-1.177661	0.24486471	1.4065e-08	2.638915e-07
ENSMUSG00000036928	5.836813	0.6642658	0.44463507	0.00068853	0.005031566
ENSMUSG00000056413	1067.986	0.407027	0.09534115	1.095127e-07	1.800485e-06
